1|KS A 0001|표준서의 서식 및 작성방법|2021-01-11|2021-0002|산업표준혁신과|고정하|
2|KS A 0002|법정계량 용어 (폐지)|2019-12-31|2019-0597|기계융합산업표준과|양승배|
3|KS A 0003|법정계량 용어 (폐지)|2013-11-05|2013-0596|기계융합산업표준과|양승배|
4|KS A 0004|분석 . 시험의 허용차 통칙 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|이경희|
5|KS A 0005|제도 ― 통칙(도면 작성의 일반코드)|2019-12-31|2019-0595|기계융합산업표준과|김민우|
6|KS A 0006|시험 장소의 표준 상태|2019-12-24|2019-0519|기계융합산업표준과|김민우|
7|KS A 0007|음향 용어 ( 기기 ) (폐지)|2001-11-19|2001-0755|전기전자정보표준과|김성희|
8|KS A 0009|음향 용어 ( 음성 . 청각 . 음악 ) (폐지)|2001-11-19|2001-0755|전기전자정보표준과|김성희|
9|KS A 0010|오염 물질 조정 용어|2020-12-30|2020-0585|바이오화학서비스표준과|지민호|
10|KS A 0011|물체색의 색 이름|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
11|KS A 0012|광원색의 색 이름|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
12|KS A 0014|기술규정에서 표준을 참조하는 방법에 대한 가이드|2020-06-22|2020-0115|표준정책과|전설|
13|KS A 0021|수치의 맺음법 (폐지)|2002-09-30|2002-1175||김세진|
14|KS A 0022|밀리미터와 인치의 환산표 (폐지)|1995-03-13|||김세진|
15|KS A 0023|킬로그램과 파운드의 환산표 (폐지)|1995-03-13|||김세진|
16|KS A 0024|중량 킬로그램 매제곱센티미터와 중량 파운드 매제곱인치의 환산표 (폐지)|1995-03-13|||김세진|
17|KS A 0025|그램과 온스의 환산표 (폐지)|1995-03-13|||김세진|
18|KS A 0026|세제곱센티미터와 세제곱인치의 환산표 (폐지)|1995-03-13|||김세진|
19|KS A 0027|세제곱미터와 세제곱피트의 환산표 (폐지)|1995-03-13|||김세진|
20|KS A 0028|리터와 갤런의 환산표 (폐지)|1995-04-15|||김세진|
21|KS A 0029|밀리바와 수은주 밀리미터의 환산표 (폐지)|2006-06-15|2006-0282|기계융합산업표준과|양승배|
22|KS A 0030|수은주 밀리미터와 기압의 환산표 (폐지)|2006-06-15|2006-0282||김세진|
23|KS A 0031|킬로칼로리와 영 열량의 환산표 (폐지)|1995-04-15|||김세진|
24|KS A 0032|미터와 피트의 환산표 (폐지)|1995-04-15|||김세진|
25|KS A 0033|톤과 미 톤의 환산표 (폐지)|1995-04-15|||김세진|
26|KS A 0034|톤과 영 톤의 환산표 (폐지)|1995-04-15|||김세진|
27|KS A 0035|무게 킬로그램 매제곱 밀리미터와 무게 영톤 매제곱 인치의 환산표 (폐지)|1995-04-15|||김세진|
28|KS A 0036|무게 킬로그램 매평방 밀리미터와 무게 미톤 매평방 인치의 환산표 (폐지)|1995-04-15|||김세진|
29|KS A 0037|미터와 야드의 환산표 (폐지)|1995-04-15|||김세진|
30|KS A 0038|킬로미터와 마일의 환산표 (폐지)|1995-04-15|||김세진|
31|KS A 0039|킬로미터와 해리의 환산표 (폐지)|2006-06-15|2006-0282||김세진|
32|KS A 0040|미터 매초와 노트와의 환산표 (폐지)|1996-11-27|||김세진|
33|KS A 0041|제곱센티미터와 제곱인치의 환산표 (폐지)|1995-04-15|||김세진|
34|KS A 0042|제곱미터와 제곱피트의 환산표 (폐지)|1995-04-15|||김세진|
35|KS A 0043|제곱미터와 제곱야드의 환산표 (폐지)|1995-04-15|||김세진|
36|KS A 0044|와트 매제곱미터 매캘빈과 킬로칼로리 매시 매제곱미터 매도와의환산표 (폐지)|1996-11-27|||김세진|
37|KS A 0045|중량 킬로그램미터와 피트 중량 파운드의 환산표 (폐지)|1995-04-15|||김세진|
38|KS A 0046|와트시와 킬로칼로리의 환산표 (폐지)|2006-06-15|2006-0282||김세진|
39|KS A 0047|킬로와트와 불 마력의 환산표 (폐지)|1995-04-15|||김세진|
40|KS A 0048|킬로와트와 영 마력의 환산표 (폐지)|1995-04-15|||김세진|
41|KS A 0049|불 마력과 영 마력의 환산표 (폐지)|1995-04-15|||김세진|
42|KS A 0050|킬로리터와 미 배럴의 환산표 (폐지)|1995-04-15|||김세진|
43|KS A 0051|온도의 환산표 ( 섭씨도 : 화씨도 ) (폐지)|1995-04-15|||김세진|
44|KS A 0052|뉴턴미터 또는 줄과 무게 킬로그램미터와의 환산표 (폐지)|2006-06-15|2006-0282|기계융합산업표준과|양승배|
45|KS A 0053|킬로파스칼과 수주 밀리미터와의 환산표 (폐지)|2005-09-14|2005-0551|기계융합산업표준과|양승배|
46|KS A 0054|뉴우톤과 중량 킬로그램과의 환산표 (폐지)|1996-11-27|||김세진|
47|KS A 0055|주울과 칼로리와의 환산표 (폐지)|1996-11-27|||김세진|
48|KS A 0056|메가 파스칼과 무게 킬로그램 매제곱센티 미터와의 환산표 (폐지)|2005-09-14|2005-0551|기계융합산업표준과|양승배|
49|KS A 0057|킬로 파스칼과 수은주 밀리미터와의 환산표 (폐지)|2005-09-14|2005-0551|기계융합산업표준과|양승배|
50|KS A 0058|메가 파스칼과 기압과의 환산표 (폐지)|2005-09-14|2005-0551|기계융합산업표준과|양승배|
