1|KS A 0516|소용돌이 유량계에 의한 유량 측정 방법 (폐지)|2003-12-11|2003-1571||김세진|
2|KS A 50087|정량표시상품의 정량검사 스킴|2021-09-03|2021-0303|기계융합산업표준과|김낙현|
3|KS A IEC80000-13|양 및 단위 — 제13부: 정보과학 및 정보기술|2017-12-29|2017-0678|기계융합산업표준과|김낙현|
4|KS A ISO155|벨트 구동－풀리－중심 조절에 대한 제한값 (폐지)|2013-12-18|2013-0738|기계융합산업표준과|양승배|
5|KS A ISO251|직물 구조형 컨베이어 벨트 - 폭 및 길이 (폐지)|2010-07-29|2010-0297|기계융합산업표준과|양승배|
6|KS A ISO252|벨트 컨베이어 - 구성요소간의 층접합시험방법 및 최소 요구사항 (폐지)|2013-12-18|2013-0738|기계융합산업표준과|양승배|
7|KS A ISO252-1|직물 컨베이어 벨트 - 구성 요소 간의 접합 강도 - 제 1부: 시험 방법 (폐지)|2013-12-18|2013-0738|기계융합산업표준과|양승배|
8|KS A ISO254|벨트 구동 - 풀리 - 품질, 마무리 및 균형 (폐지)|2013-12-18|2013-0738|기계융합산업표준과|양승배|
9|KS A ISO255|벨트 구동 - V-벨트용 풀리(데이타폭에 근거한 시스템) - 홈의 기하학적 검사 (폐지)|2013-12-18|2013-0738|기계융합산업표준과|양승배|
10|KS B 0001|기계 제도|2018-12-17|2018-0508|기계융합산업표준과|김민우|
11|KS B 0002|제도 ― 기어의 표시|2019-12-31|2019-0595|기계융합산업표준과|김민우|
12|KS B 0003|나사 제도 (폐지)|1999-12-29||기계융합산업표준과|김민우|
13|KS B 0004|구름 베어링 제도 (폐지)|2001-03-20||기계융합산업표준과|김낙현|
14|KS B 0004-1|제도 ― 구름 베어링 ― 제1부: 일반 간략 표시|2019-12-24|2019-0519|기계융합산업표준과|김민우|
15|KS B 0004-2|제도 ― 구름 베어링 ― 제2부: 상세 간략 표시|2019-12-24|2019-0519|기계융합산업표준과|김민우|
16|KS B 0005|제도 ― 스프링의 표시|2019-12-24|2019-0519|기계융합산업표준과|김민우|
17|KS B 0009-1|제도－문자－제1부：로마자, 숫자 및 기호 (폐지)|2013-04-22||기계융합산업표준과|김민우|
18|KS B 0009-2|제도－문자－제2부：그리스 문자 (폐지)|2013-04-22||기계융합산업표준과|김민우|
19|KS B 0050|수치 제어 기계용 부호 (폐지)|2014-12-26|2014-0907|기계융합산업표준과|양승배|
20|KS B 0051|배관 도시 기호 (폐지)|2001-03-20||기계융합산업표준과|김민우|
21|KS B 0052|용접 기호|2017-09-19|2017-0377|기계융합산업표준과|양동학|
22|KS B ISO701|기어 기호－기하학적 데이터의 기호|2018-06-25|2018-0171|기계융합산업표준과|양동학|
23|KS B 0054|유압·공기압 도면 기호|2019-12-27|2019-0542|기계융합산업표준과|이경희|
24|KS B 0055|화력 발전 용어(증기터빈, 지열 발전설비 및 부속 장치)|2022-06-02|2022-0092|기계융합산업표준과|정지훈|
25|KS B 0056|용접부 비파괴 시험 기호 (폐지)|1995-10-30||기계융합산업표준과|김낙현|
26|KS B 0058|화력 발전 용어－가스 터빈 및 부속 장치|2019-12-13|2019-0472|기계융합산업표준과|정지훈|
27|KS B 0059|화력 발전 용어 ( 건물 . 구축물 및 기타 장치 ) (폐지)|1991-12-23||기계융합산업표준과|이경희|
28|KS B 0060|화력 발전 용어(일반)|2021-09-15|2021-0349|기계융합산업표준과|정지훈|
29|KS B 0061|터보형 펌프 용어|2017-12-20|2017-0608|기계융합산업표준과|이경희|
30|KS B 0062|송풍기ㆍ압축기 용어|2021-04-29|2021-0100|기계융합산업표준과|이경희|
31|KS B 0063|냉동용 그림 기호|2022-07-22|2022-0177|기계융합산업표준과|정지훈|
32|KS B 0064|화력 발전 용어(보일러 및 부속장치)|2020-12-30|2020-0579|기계융합산업표준과|정지훈|
33|KS B 0065|유체 제어 소자 용어|2020-12-29|2020-0567|기계융합산업표준과|정지훈|
34|KS B 0068|산업용 로봇 기호|2021-11-26|2021-0548|기계융합산업표준과|강민구|
35|KS B 0070|공작기계 용어|2020-11-17|2020-0372|기계융합산업표준과|정지훈|
36|KS B 0071|에너지 관리 기술 용어|2020-12-29|2020-0567|기계융합산업표준과|정지훈|
37|KS B 0072|화력 발전 용어(내연 기관 및 부속 장치)|2019-12-13|2019-0472|기계융합산업표준과|정지훈|
38|KS B 0073|권상기 용어|2020-12-16|2020-0471|기계융합산업표준과|강민구|
39|KS B 0074|원뿔 용어|2020-12-31|2020-0596|기계융합산업표준과|김민우|
40|KS B 0075|엔진 구동 발전 세트 용어 (폐지)|2013-12-18|2013-0738|기계융합산업표준과|양승배|
41|KS B 0076|압력 용기의 구조 공통 용어|2018-04-20|2018-0105|기계융합산업표준과|정지훈|
42|KS B 0077|공작기계 - 시험 및 검사용어 (폐지)|2012-11-20|2012-0626|기계융합산업표준과|정지훈|
43|KS B 0081|진공 용어|2021-08-27|2021-0280|기계융합산업표준과|이경희|
44|KS B 0082|진공 장치용 도시 기호|2021-08-27|2021-0280|기계융합산업표준과|이경희|
45|KS B 0100|밸브 용어|2020-11-24|2020-0393|기계융합산업표준과|양동학|
46|KS B 0101|나사 용어|2020-11-24|2020-0393|기계융합산업표준과|양동학|
47|KS B ISO1122-1|기어 용어－제1부：기하학적 정의|2018-06-25|2018-0171|기계융합산업표준과|양동학|
48|KS B 0103|스프링 용어|2020-11-24|2020-0393|기계융합산업표준과|양동학|
49|KS B 0104|구름 베어링 용어|2019-01-31|2018-0607|기계융합산업표준과|김낙현|
50|KS B 0105|공작 기계의 명칭에 관한 용어 (폐지)|2012-11-20|2012-0626|기계융합산업표준과|정지훈|
51|KS B 0106|용접 용어|2021-12-30|2021-0665|기계융합산업표준과|양동학|
52|KS B 0107|금속 가공 공정의 기호|2019-12-24|2019-0519|기계융합산업표준과|김민우|
53|KS B 0109|프레스 기계 용어 (폐지)|2012-11-20|2012-0626|기계융합산업표준과|양승배|
