1|KS D 8522|고순도 알루미나 분말 소재의 시험방법|2019-06-20|2019-0120|기계융합산업표준과|윤승환|
2|KS L 0001|석고 분야의 표준 용어 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
3|KS L 0002|석회 분야의 표준 용어 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
4|KS L 0003|내화물 분야의 표준 용어 (폐지)|1974-03-06||바이오화학서비스표준과|지민호|
5|KS L 0004|유리 분야의 표준 용어|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
6|KS L 0005|수경성 시멘트 분야의 표준 용어|2021-04-22|2021-0095|기계융합산업표준과|정현우|
7|KS L 0006|시멘트 제조용 회전 가마의 열 정산 방법|2017-10-05|2017-0428|기계융합산업표준과|정현우|
8|KS L 0007|도자기, 내화물 등의 소성용 단독가마의 열수지 계산 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
9|KS L 0008|도자기, 내화물 등의 소성용 터널가마의 열수지 계산 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
10|KS L 0009|석회 소성용 선가마의 열수지 계산 방법|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
11|KS L 0010|광석 등의 연속식 건조 가마의 열수지 계산 방법|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
12|KS L 0011|내화물 용어|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
13|KS L 0012|법랑 용어|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
14|KS L 0013|세라믹산업 분류 코드|2019-11-11|2019-0354|바이오화학서비스표준과|지민호|
15|KS L 1001|도자기질 타일|2020-12-28|2020-0521|바이오화학서비스표준과|지민호|
16|KS L 1002|본 차이나 식기|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
17|KS L 1003|도자기 내열 식기|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
18|KS L 1004|주택용 간이 수세변기|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
19|KS L 1201|도자기 재질의 비중 측정 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
20|KS L 1202|도자기의 열 전도도 측정 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
21|KS L 1203|도자기의 압축 강도시험 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
22|KS L 1204|도자기 표면으로부터 용추출되는 납 및 카드뮴량의 측정 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
23|KS L 1205|시유 타일의 열 충격 저항성 측정 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
24|KS L 1206|시멘트에 대한 타일의 접촉 강도 측정 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
25|KS L 1207|열 충격법에 의한 도자기류의 균열 저항성 측정 방법 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
26|KS L 1208|도자기의 누프 경도 시험 방법 (폐지)|2005-11-25|2005-0782|바이오화학서비스표준과|지민호|
27|KS L 1209|도자기 류의 45°광택도 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
28|KS L 1210|도자기 장식물의 내세제성 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
29|KS L 1211|비가소성 세라믹 분말의 정밀 습식 체가름 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
30|KS L 1550|화학공업용 내산 도자기의 일반 통칙|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
31|KS L 1551|위생도기|2019-11-11|2019-0354|바이오화학서비스표준과|지민호|
32|KS L 1552|화학공업용 내산 도자기 (폐지)|1992-04-14||바이오화학서비스표준과|지민호|
33|KS L 1553|화학공업용 내산 도자기의 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
34|KS L 1554|화학공업용 내산 도자기 나선형 충전물 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
35|KS L 1555|화학공업용 내산 도자기 계란형 충전물 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
36|KS L 1556|화학공업용 내산 도자기 2공형 충전물 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
37|KS L 1557|화학 분석용 자기 연소관|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
38|KS L 1558|내산 자기병 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
39|KS L 1559|화학분석용 자기 도가니 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
